id,nni_counter,nni_mean,nni_min,nni_max,hr_mean,hr_min,hr_max,hr_std,nni_diff_mean,nni_diff_min,nni_diff_max,sdnn,rmssd,sdsd,nn50,pnn50,nn20,pnn20,sd1,sd2,sd_ratio
0,38.0,409.55263157894734,227.0,945.0,182.80372744601425,63.492063492063494,264.3171806167401,73.50923291185157,227.1081081081081,0.0,718.0,215.5318622420738,316.70162443365984,223.77490969769198,22.0,59.45945945945946,22.0,59.45945945945946,223.94186543437868,190.63695854549553,0.8512787824452483
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,27.0,270.44444444444446,252.0,298.0,222.18218991352467,201.34228187919464,238.0952380952381,8.636164339073266,7.0,1.0,17.0,10.591481821704042,8.22285744831957,4.4,0.0,0.0,0.0,0.0,5.793793863892476,13.453734001379749,2.322094005660922
3,20.0,392.65,132.0,944.0,181.59558710301667,63.559322033898304,454.54545454545456,84.14542833749742,181.6315789473684,8.0,598.0,175.11418079581526,242.135781829339,164.51180657607517,14.0,73.68421052631578,16.0,84.21052631578947,171.15264282743166,175.91016184845958,1.0277969357786942
4,13.0,526.5384615384615,311.0,913.0,129.1190168815454,65.71741511500548,192.92604501607718,44.45525214166078,208.83333333333334,2.0,445.0,204.19460300761108,257.98029640523583,158.20288086868555,9.0,75.0,10.0,83.33333333333334,179.47488991809163,189.75528831746544,1.0572804273849425
5,17.0,423.6470588235294,251.0,701.0,154.25947141295546,85.59201141226819,239.0438247011952,45.482157424726736,174.9375,3.0,394.0,130.42619616878667,216.12828944865132,131.0808751623719,12.0,75.0,14.0,87.5,152.70579735843364,99.6814359440864,0.6527678560239101
6,35.0,227.25714285714287,203.0,588.0,272.24736632172227,102.04081632653062,295.5665024630542,31.013894569253,26.205882352941178,0.0,376.0,63.18057354875453,91.22838180664405,88.69757244867962,2.0,5.88235294117647,2.0,5.88235294117647,64.50780175985903,61.637463470799844,0.9555040133014531
7,15.0,477.26666666666665,143.0,775.0,156.8694467143199,77.41935483870968,419.5804195804196,92.56560265425018,259.85714285714283,10.0,549.0,194.65664520845294,286.56163635171305,125.35663410560174,13.0,92.85714285714286,13.0,92.85714285714286,201.7186614256275,162.4218179271969,0.8051898459929098
8,46.0,343.4782608695652,204.0,656.0,190.09842592988244,91.46341463414635,294.11764705882354,49.05071495603388,149.53333333333333,2.0,435.0,115.04197091698215,191.57017861173836,121.09830717231351,34.0,75.55555555555556,37.0,82.22222222222221,135.4244757862304,87.63306777638925,0.6470991840110157
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
