id,raw_global_min,raw_global_max,raw_global_mean,raw_global_median,raw_global_std,raw_global_skew,raw_global_kurtosis,filtered_global_min,filtered_global_max,filtered_global_mean,filtered_global_median,filtered_global_std,filtered_global_skew,filtered_global_kurtosis
0,-236.0,738.0,7.579052525190111,-17.801945828412478,103.03063984711133,2.2586567667143616,2.2586567667143616,-169.23268133748368,498.8427214971484,2.585444831349829,-8.618758923668352,64.99827420893182,3.4044051140469285,3.4044051140469285
1,-399.0,458.17774088999107,3.085209041727139,-2.4539927060852653,90.56036147724366,0.36189282924930194,0.36189282924930194,-253.55844594210527,302.0092598369194,1.204468037625961,-1.2826748586896979,48.838519881739835,0.6965763067270193,0.6965763067270193
2,-498.97154726961344,1130.0,10.446112476377515,0.0,140.64468176657243,3.2597424549484524,3.2597424549484524,-474.71954206871885,865.8758335413227,3.4687655701336166,-0.697862477376739,109.71969708637022,3.3613893205603156,3.3613893205603156
3,-840.0,864.0,-16.087947696545477,-23.0,190.42430656641363,-0.045789866074174526,-0.045789866074174526,-640.4316690250754,727.6844394418849,-5.413856024927343,-8.819041323715103,153.71974022454074,0.18393387940796582,0.18393387940796582
4,-660.0,679.0,-14.441725419589176,-11.867537637948036,133.24126910136897,-0.8225013198038502,-0.8225013198038502,-484.4274583572151,473.690706419698,-4.8044736560081835,-3.886536655701393,85.70551929476319,-0.6045754570431585,-0.6045754570431585
5,-216.0,405.00454548883,4.049281154444866,-7.075670819562893,65.11789391795804,2.664556199758956,2.664556199758956,-224.80438273216873,355.21123127655466,1.4229691118090735,-2.6106192927232668,43.61320871980521,2.599522538702056,2.599522538702056
6,-401.0,979.0,11.98222516381576,-14.0,139.36405157247643,3.3377315327585273,3.3377315327585273,-427.0717618016447,806.3983467591086,3.9383940853411255,-5.500283689260127,113.28983295715588,3.1731938986097905,3.1731938986097905
7,-792.0,751.0,-6.149246337780394,-23.822356577444637,169.98743059978125,0.28764530060781834,0.28764530060781834,-669.3931224669898,647.7937863349318,-2.1596230717693734,-9.856086632534916,125.28471758246333,0.21863613252564948,0.21863613252564948
8,-371.7062113034359,897.0,8.50940803476667,-10.0,111.9408076490074,4.30833594087912,4.30833594087912,-376.3662712830636,740.9209142100834,2.9046675919259717,-4.612679313990907,88.75290917878425,4.311260632848273,4.311260632848273
9,-183.11668417747222,519.3368398636583,13.968130298723453,-2.481485313341759,91.51562305569578,2.315062400837837,2.315062400837837,-206.89583021906338,425.9012454163209,4.224908453100663,-2.1885782852745095,60.22586902124184,2.4825753622773035,2.4825753622773035
10,-148.03689328073756,893.0,15.100162096753582,-3.3585085624161746,102.03679924931681,5.284835494867796,5.284835494867796,-201.3360566172653,642.9130769898486,5.089500946815186,-1.4621786296807753,72.53561448377182,5.194139387560029,5.194139387560029
11,-961.0,465.0,-6.1515269803579296,12.0,131.87810096684817,-2.388202156318541,-2.388202156318541,-683.1840499819211,301.8576806101479,-1.8901611497109458,4.8155518772269,88.40577809133924,-3.2255037712977748,-3.2255037712977748
12,-326.0,654.0,3.103401430433794,-9.920581732968632,78.95503728430694,3.354891248760581,3.354891248760581,-341.1860856110245,544.0333755084739,1.0240007323393228,-3.6290852176932855,64.2515542085382,3.1280442609769405,3.1280442609769405
13,-388.0,1786.0,23.777270932103555,-9.99278581084807,225.9368246915409,3.7314538956824195,3.7314538956824195,-442.9063876022143,1323.9836900158891,8.125687886896308,-7.0004326068813985,163.03002970354203,4.505332322975739,4.505332322975739
14,-803.0,804.0,1.1250601713075177,-6.0,131.73070309213568,0.3277654753877401,0.3277654753877401,-682.0518919799742,700.5319392397815,0.35939975935139284,-2.4981337283933582,107.09938296151607,0.3481302656084619,0.3481302656084619
15,-885.9008278320537,2534.9380281781946,3.674322534753733,-8.568777872910118,172.793678564978,5.1490465627657125,5.1490465627657125,-988.8063726840353,2153.3993857249043,1.23935942513103,-2.795016002969385,139.9029542388772,4.249400643778627,4.249400643778627
16,-150.0,196.94706428142496,0.3206340714243572,5.7528686857526194,37.260590656100156,0.06530937012432016,0.06530937012432016,-103.5980167610219,174.31084226973616,0.022976151916034734,2.1468657353111507,25.24713931690766,1.4000955445646706,1.4000955445646706
17,-654.0,1115.0,2.4168111653482773,-14.995022497957532,199.71181021809778,1.5436482360652615,1.5436482360652615,-516.8577886471371,917.1709654463373,0.7557084047201987,-5.081189325325128,151.99599775532914,1.7348714752053396,1.7348714752053396
18,-407.82971219001945,1336.0,22.185516102648528,-15.883665229895168,175.69968370709228,4.387185958238004,4.387185958238004,-471.4506887140727,1003.170601415413,7.444633530414858,-6.438334583067643,128.67318584970698,4.049694391017236,4.049694391017236
19,-317.4228182080322,808.7414443575801,9.553959960860388,-5.3057273127117295,117.42349255155156,2.915754408372463,2.915754408372463,-311.0980247597358,642.4419913812573,3.0307920975517817,-2.116440902831573,89.51316949422859,3.2877635375628795,3.2877635375628795
20,-564.0,1069.0,4.548675896974505,-5.0,143.67485301262306,2.2662835107356707,2.2662835107356707,-530.1475445455947,758.8793677193736,1.5346962360888508,-1.7440033835096722,114.86098158262938,2.290379528653883,2.290379528653883
21,-556.0,925.0,2.9650761199324402,-13.446070006709455,163.30900498073825,1.2524464391856767,1.2524464391856767,-327.71482369753977,617.0426437012625,0.8891801750329011,-6.426735175101621,96.24137322226183,2.125522762741925,2.125522762741925
22,-264.0,877.0,15.769822845445038,-1.0,114.97114175442971,3.9094637674947017,3.9094637674947017,-192.90873898654561,604.8677806960193,5.488362448095699,-1.716916880891823,77.24301949567943,4.377781478818035,4.377781478818035
23,-253.4298292745424,1095.0,15.936358070036201,-34.464290350091744,169.09634227923834,2.955047566957142,2.955047566957142,-303.1556736327475,865.6264304543888,5.492818162831876,-16.155805257108398,116.73683088844773,3.785093726642877,3.785093726642877
24,-240.43776502008194,705.0,6.705850359146466,-12.546997432887327,96.2572648062581,3.4821989467207177,3.4821989467207177,-265.19360479875706,587.4369267116516,2.0661440423129824,-4.896681459918469,76.0394444833679,3.663403092426743,3.663403092426743
